zpid,label,purchase_price,purchase_date,actual_rent,mortgage_balance,mortgage_payment,mortgage_rate,escrow_in_mortgage,property_tax_annual,insurance_annual,hoa_monthly,maintenance_pct,vacancy_pct,down_payment,closing_costs
54770934,558 Marble Arch,920000,2018-04-01,4100,495898.69,2466.38,3.0,FALSE,15305.82,956,350,1.0,0,368000,10000
97999338,4465 Ambassador Way,426000,2025-01-21,2730,294193.42,2474.74,6.75,TRUE,4829.27,1567.09,20.83,1.0,0,127800,5000
58606207,1554 Hayden Mill,371500,2022-02-23,2425,253861.35,1875.87,3.75,TRUE,5766.40,963,20.83,1.0,0,74300,5000
14827461,3290 Northcliff,445000,2024-02-26,2640,260433.30,2276.40,6.625,TRUE,4681.82,1359.90,20.83,1.0,0,178000,10570.55
